Poll,Date,Biden,Warren,Sanders,Harris,Buttigieg,O'Rourke,Booker,Yang,Gabbard,Castro,Klobuchar,Steyer,Williamson
RCP Average,2019-08-18,29,15.8,15.4,7.4,4.6,3.4,2.2,2,1.4,1.4,1.4,1,1
CNN,2019-08-18,29,14,15,5,5,3,2,1,2,2,1,1,0
Politico/Morning Consult,2019-08-18,31,15,20,9,5,3,3,3,1,1,1,1,1
FOX News,2019-08-13,31,20,10,8,3,2,3,3,1,1,2,1,1
Economist/YouGov,2019-08-13,23,20,16,8,6,5,2,2,2,1,1,1,1
The Hill/HarrisX,2019-08-10,31,10,16,7,4,4,1,1,1,2,2,1,2
Politico/Morning Consult,2019-08-11,33,14,20,9,5,3,3,2,1,1,1,1,1
Economist/YouGov,2019-08-06,25,18,13,8,7,2,2,2,3,1,1,1,0
Quinnipiac,2019-08-05,32,21,14,7,5,2,2,1,1,1,1,0,0
SurveyUSA,2019-08-05,33,19,20,9,8,1,1,0,0,0,1,0,0
Politico/Morning Consult,2019-08-04,33,15,19,9,6,3,3,2,1,1,1,1,1
Politico/Morning Consult,2019-08-01,32,15,18,10,6,3,3,2,1,1,1,1,1
Harvard-Harris,2019-08-01,34,8,17,9,4,3,2,1,0,1,1,1,0
Economist/YouGov,2019-07-30,26,20,13,11,6,2,3,1,2,2,0,0,0
IBD/TIPP,2019-08-01,30,17,12,11,6,1,2,0,1,0,1,--,0
Emerson,2019-07-29,33,14,20,11,6,4,0,2,1,1,0,2,0
The Hill/HarrisX,2019-07-28,34,12,20,9,5,4,1,1,0,1,1,1,0
Quinnipiac,2019-07-28,34,15,11,12,6,2,1,2,1,0,1,0,1
Politico/Morning Consult,2019-07-28,33,13,18,12,5,3,3,2,1,1,1,1,1
FOX News,2019-07-23,33,12,15,10,5,2,2,3,0,1,3,1,0
Economist/YouGov,2019-07-23,25,18,13,9,7,2,2,2,2,2,1,1,0
Politico/Morning Consult,2019-07-21,33,14,18,13,5,3,2,2,1,1,1,1,1
Economist/YouGov,2019-07-16,25,16,12,11,6,2,3,0,1,0,1,1,0
The Hill/HarrisX,2019-07-13,29,9,16,11,1,3,1,0,1,1,1,0,0
Politico/Morning Consult,2019-07-14,32,14,19,13,5,3,2,2,1,1,1,--,0
NBC News/Wall St. Jrnl,2019-07-09,26,19,13,13,7,2,1,2,0,1,1,--,1
Economist/YouGov,2019-07-09,22,18,12,15,6,1,2,1,3,2,1,--,0
Emerson,2019-07-08,30,15,15,15,5,4,2,3,2,0,1,--,0
Politico/Morning Consult,2019-07-07,31,13,19,14,6,3,2,1,1,1,1,--,1
Economist/YouGov,2019-07-02,23,19,9,15,8,2,2,1,1,1,0,--,0
ABC News/Wash Post,2019-07-01,30,12,19,13,4,2,1,0,1,3,2,--,1
Quinnipiac,2019-07-01,22,14,13,20,4,1,3,1,1,1,1,--,0
The Hill/HarrisX,2019-06-30,33,9,15,11,6,4,2,1,1,1,0,--,0
CNN,2019-06-30,22,15,14,17,4,3,3,1,1,1,2,--,0
Harvard-Harris,2019-06-29,34,11,15,9,3,2,3,1,2,1,1,--,0
