Candidate,Healthcare,Criminal Justice Reform,Taxes and Economics,Immigration,The Climate Crisis,Identity and Social Justice,Education,Business and Tech Regulation,Family Issues,Foreign Policy,Guns,Reproductive Rights,Government Reform and Anti-Corruption,Poverty and Inequality,Housing,Voting Rights,Reparations
Michael Bennet,"Bennet does not support Medicare-for-All, instead favoring an expansion of the Affordable Care Act called “Medicare X.” Like other candidates who do not support a single-payer health care system, Bennet has warned that the the plan favored by progressives is not what it seems. In July, Bennet unveiled a plan to expand access to health care services in rural areas of America though Medicare X. The plan would invest in telemedicine (allowing doctors to see patients over video conference), expanding rural broadband, a measures aimed at combating the opioid epidemic, and more. ",,,"Bennet has bashed Trump’s approach to immigration, and in March reiterated his belief that a pathway to citizenship should be provided for undocumented immigrants brought to the United States when they were children.","Bennet has released a climate change plan he has dubbed “America’s Climate Change Plan.” It calls for net-zero emissions by 2050 at the latest and would use, as Bennet puts it “every diplomatic and economic tool available to assert America’s leadership in this critical fight.” The plan would also seek to “conserve 30 percent of America’s lands and oceans by 2030,” incentivize power providers to offer zero-emission energy, create a “Climate Bank” that lead to $10 trillion in private sector investment in innovation and infrastructure and more.",,"Bennet has not released a higher education plan, but his campaign told the New York Times that he wants to make sure “college students can pursue their studies without incurring the crushing burden of debt; more people seeking an alternative to college can pursue high-quality apprenticeships and job training; and Americans throughout their lives can advance their careers by improving their existing job skills or learning new ones.”",,,,,Bennet has promised to “do everything [he] possibly can” to protect Roe v. Wade.,"Bennet has released a multi-faceted plan to “fix our broken politics.” It involves overturning Citizens United, heightening transparency of Super PACs and other fundraising mechanisms (including social media ads), cracking down on campaign finance violations, banning members of Congress from ever becoming lobbyists, requiring all presidential candidates to release their tax returns, and more. “So much of what we got to get done — from climate to health care to changing the tax code — is going to require us to change the way our politics works,” Bennet said on a conference call in June. “Our plan responds to that by taking on the corruption in Washington and at the same time strengthening our democracy. It attempts to take the money out of politics and put the American people back in.”","Bennet has not proposed raising taxes on the wealthy, but his American Family Act would greatly expand the child tax credit, which currently provides up to $2,000 per child up to the age of 17. This plan would benefit lower-class and middle-class families with children, and, according to Vox, could cut poverty in the United States by over a third.",,"Included in Bennet’s plan to “fix our broken democracy” are several measures aimed at protecting the integrity of elections. He has called for automatic voter registration, making Election Day a national holiday, restoring voting rights to the formerly incarcerated, requiring states to allow students to vote where they attend school, and more.",
Joe Biden,"Biden does not support Medicare-for-All, instead favoring an expansion of the Affordable Care Act.","Since launching his campaign, Biden’s had to answer for his criminal justice stance in the ’80s and ’90s, including support for the 1994 Crime Bill and co-sponsoring the 1988 Anti-Drug Abuse Act, which created mandatory minimum sentences that treated crack cocaine more harshly than cocaine and contributed to the disproportionate incarceration of people of color.",Biden has pledged to close $1.6 trillion in “tax loopholes.”,"Biden’s website says, he would “pursue a humane immigration policy that upholds our values, strengthens our economy, and secures our border.” He recently pledged not to deport veterans who aren’t U.S. citizens. As a senator, he voted in favor of the Secure Fence Act to pay for 700 miles of wall construction on the U.S.-Mexico border.","Biden, who introduced one of the Senate’s first climate bills in 1986, has endorsed the framework of a Green New Deal and unveiled a $1.7 trillion plan to get to net zero greenhouse gas emissions by 2050.",,Biden’s first major policy rollout focused on K-12 education. The centerpiece of that plan is tripling Title I federal spending on schools that serve low-income students from $16 billion to $48 billion. Biden called for four years of free public college.,,,"Biden's foreign policy views are decidedly mainstream and centrist. He has slammed Trump’s “need to coddle autocrats and dictators” and called for more support of NATO and a strong response to Russia’s sustained assault on Western democracy, including in the U.S. Yet he also voted for the Iraq war, and supported President Obama’s escalation of the war in Afghanistan.","A longtime gun control advocate. In the past, he pushed for a ban on assault weapons and high-capacity magazines as well as implementing universal background checks.","iden, a Roman Catholic, has said that he personally opposes abortion but because this conviction is based on his faith, he has no right to impose those views on other people.",Biden has disavowed Super PACs and fossil fuel money but not corporate PAC money or dark money nonprofit groups. His campaign has reportedly begun recruiting big-money fundraisers.,"Biden unveiled a plan aimed at revitalizing rural America. The plan features a bevy of economic initiatives, investment in clean energy solutions, tripling funding to expand rural broadband access, measure to improve access to health care in rural areas, and more.",,Biden website includes a call to protect “every American’s vote” — to make it easier for people of all races and classes to vote and protect our elections from foreign interference.,Biden has yet to take a position. He dismissed the idea of reparations in a 1975 interview that resurfaced in news reports before he entered the presidential race.
Cory Booker,"Booker supports Medicare for all. “Our broken health care system costs too much, is unsustainable, inefficient, unequal and unjust,” he tweeted in March. “No one living in the richest country in the world should die or go bankrupt because they can’t afford quality care. We need Medicare for all.”","Booker has led within the Democratic Party on criminal justice reform. He helped pass the First Step Act, which freed thousands of inmates sentenced to prison for drug-related offenses. He then introduced the Next Step Act to scale back mandatory minimum sentences for non-violent drug offenses, ban employers from asking prospective hires about their criminal history until late in the interview process, and improve training for law enforcement officers on racial bias issues.",,"In July, Booker unveiled a plan aimed at fixing America’s immigration system that includes a promise to “shut down inhumane facilities and require all facilities to meet the highest standards” on his first day in office. The plan also calls for expanding protections for DACA, expanding the availability of legal counseling for migrants seeking asylum, reforming Immigration and Customs Enforcement and Customs and Border Protection, appointing a special envoy to the North Triangle countries (Guatemala, Honduras, and El Salvador) producing many of the migrants traveling to the southern border, reversing immigration policies put in place by the Trump administration, and more. ",Booker says he backs the Green New Deal and recommitting the U.S. to the Paris climate accord.,,Booker has introduced legislation to make college debt-free. The bill would match state-level investments in higher ed with federal dollars so that students don’t have to take on debt to get a degree.,,,"Foreign policy has not been a centerpiece of Booker’s campaign so far, but as a member of the Senate Foreign Affairs Committee he has spoken out against the Trump administration’s shadow war in Syria and against arm deals with Saudi Arabia. He backed the Iran nuclear deal and condemned Trump’s decision to pull out of it as “an abdication of American leadership.”","Booker’s plan is one of the more ambitious in the field. It calls for universal background checks and mandatory gun licenses to purchase a firearm, ratcheting up federal regulations of gun manufacturers (including giving the Consumer Product Safety Commission the power to oversee the industry), closing the “gun-show loophole,” and more.","In May, Booker slammed Georgia’s draconian “fetal heartbeat” bill as an “all-out attack on women.” Later that month, he released a plan that includes several measures to bolster reproductive rights, including the creation of a White House Office of Reproductive Freedom that would be “charged with coordinating and affirmatively advancing abortion rights and access to reproductive health care across my Administration .”",,"Booker’s signature economic policy is “baby bonds,” which are aimed at closing America’s glaring racial wealth gap by seeding “American Opportunity Accounts” for children. Every newborn baby in America would get $1,000 in a low-risk savings account managed by the Treasury Department. Children in low-income families would get an additional $2,000 per year until they’re 18. ","In June, Booker released an affordable housing plan, the centerpiece of which is a “Renters Credit” that would cap rental costs at 30 percent of the income of lower- and middle-class Americans. The plan would also reform zoning laws so more affordable housing could be constructed (and penalize cities that try to restrict land use), institute several anti-homelessness measures, beef up protections for tenants, and more.","Booker has pledged to put in place a new Voting Rights Act, a package of reforms that would combat voter suppression efforts (like those seen in Georgia’s 2018 gubernatorial election), end partisan gerrymandering, enact universal voter registration, and give former felons the ability to regain their right to vote.","One of the most vocal candidates on the issue, Booker introduced legislation in April to launch a federal commission to study federal reparations for African Americans."
Steve Bullock,"When he was asked last year in New Hampshire whether he supported Medicare-for-All, Bullock said that “health care ought to be affordable, accessibly and of quality. How we get there, there’s any number of different paths.”",,,"In 2017, Bullock was one of 11 governors to sign a letter urging Congress to take steps to protect the status of undocumented immigrants brought to America as children. He’s continued to advocate for Dreamers since announcing his campaign.","Bullock does not support the Green New Deal, telling the Washington Post that “we can do better with a more focused plan,” and that “we should significantly increase renewable energy, reverse the Trump Administration’s cuts to fuel efficiency standards and expand them to address the 37% of emissions that come from transportation, improve energy efficiency which could account for 30% of our overall goal, and follow the IPCC’s recommendation to invest in carbon capture.”",,"As governor of Montana, Bullock froze the cost of public college tuition. He has continued to advocate for affordable education while on the campaign trail. “Student debt has doubled in the last decade,” he said while in Iowa in May. “It’s $1.4 trillion — the average 2017 graduate has $28,000 of student loans, we’ve got to turn around and make college more affordable and accessible.”",,,,"Bullock was hesitant to adopt many of the gun safety measures popular among Democrats, but has recently been more open to reform. He said in 2018 that he supports universal background checks and magazine size restrictions.","“I begin from the premise that a woman should be able to make her own health decisions, in consultation with her doctor, if she chooses her family and faith,” Bullock told the Washington Post in May, adding that the restrictive bills passed in Alabama and Missouri “not only an attack on Alabama but an attack on women having domain in over their body.”","Bullock has based his campaign largely on tackling dark money in politics. Bullock has said that on his first day in office he will sign an executive order “requiring every company to disclose every dollar they spend or contribute to influence our elections if they want to do business with the largest contractor in the nation — the federal government.” He has also pledged to empower watchdog agencies go after groups that seek to “corrupt our elections,” ban Super PACs, pass the Disclose Act and work to overturn Citizens United.","“400 of the richest Americans own more wealth than the bottom 60% of people,” Bullock tweeted in June. “At the same time, the average worker hasn’t had a real wage increase in 40 years. Every American deserves a fair shot at success, not just the wealthy.”",,,
Pete Buttigieg,"Buttigieg has said a single-payer health care system is the “right place for us to head as a country,” but doesn’t think a Medicare-for-All model necessitates the elimination of the private insurance industry.","At the National Action Network convention in April, Buttigieg said he opposed solitary confinement. At the same conference, he argued the death penalty should be abolished. Buttigieg has also called for the elimination of the private prison industry, reforming pre-trial detention and cash bail, and incentivizing the reduction of mass incarceration.",,Buttigieg supports the Deferred Action for Childhood Arrivals (DACA) program and a pathway to citizenship for undocumented immigrants. He has also called for comprehensive immigration reform that would “end the backlogs in our lawful immigration and asylum processes.”,"Buttigieg supported the Paris climate accord, and in February told CNN that he believes the Green New Deal is “the right beginning” to tackling what he has described as a national emergency. He supports “a carbon tax-and-dividend for Americans, and major direct investment to build a 100% clean energy society.”","Struggling to garner support among African-American voters, Buttigieg in July unveiled “The Douglass Plan,” which his website describes as “a comprehensive investment in the empowerment of black America.” The sweeping set of proposals calls for reducing mass incarceration by 50 percent; reducing the racial wealth gap; ending racial health care bias; combating voter suppression; investing $25 billion in Historically Black Colleges and Universities; and other measures. ","Buttigieg bucked with some progressives in April when he seemed to oppose tuition-free college while speaking to students at Northeastern University. His plan calls for debt-free public college, as well as an increase in Pell Grants and more support for Historically Black Colleges and Universitiesand Minority-Serving Institutions.",,,"In June, Buttigieg delivered a foreign policy-focused speech at the Indiana University at Bloomington in which he laid out several proposals, including repealing and replacing the 2001 Authorization for the Use of Military Force (AUMF), which essentially gives the president unilateral authority to wage war, and withholding taxpayer money from Israel if it annexes the West Bank.","Buttigieg supports universal background checks, and is a member of the bipartisan group Mayors Against Illegal Guns. After the New Zealand mosque shooting in March, he called for military-style assault weapons to be banned, along with the establishment of a national gun licensing system, and the closure of the “boyfriend loophole,” which allows some domestic abusers to purchase guns so long as they were not married to the victim.","“The government’s role should be to make sure all women have access to comprehensive affordable care, and that includes preventive care, contraceptive services, prenatal and postpartum care, and safe and legal abortion,” Buttigieg’s website reads. He also supports the repeal of the Hyde Amendment, which restricts federal funding for abortion except in extreme cases such as rape and incest.",,"Buttigieg has also proposed raising the national minimum wage to $15 per hour, as well as exploring ways to deal with the effects of automation. He has also expressed openness to more radical solutions, telling Pod Save America that “it’s the right moment to have the conversation” about universal basic income.",,"Buttigieg supports automatic voter registration, expanding early voting, making Election Day a national holiday, and restoring voting rights for the formerly incarcerated — but at a CNN town hall in April he said that he didn’t support people being allowed to vote while incarcerated.","Buttigieg said in April that he is open to considering reparations. “The country as a whole is effectively segregated by race and the resources are different,” he said at the National Action Network convention. “There is a direct connection between exclusion in the past and exclusion in the present.”"
Julian Castro,"Castro supports Midecare-for-All in theory, although he has yet to lay out the specifics of what his plan would look like.","In June, Castro released his “People First Policing Plan,” which aims to “end over-aggressive policing and combat racially discriminatory policing,” “hold police accountable,” and “start the healing process between communities and law enforcement.” The plan would involve limiting the use of deadly force, demilitarizing the police, de-prioritizing minor offenses, mandating several new training programs, and more.",,"Immigration is one of the signature issues of Castro’s campaign. His “People First” immigration policy would break up ICE and shift its enforcement and removal powers to the Justice Department. It would create a pathway to citizenship for DREAMers, as well as for people with Temporary Protected Status and undocumented residents. It would also rescind Trump’s Muslim ban and “effectively end” the practice of detaining refugees who present themselves at the border. And it would establish a “21st-century Marshall Plan” for Central America to re-establish stability in the region.",Castro has promised to sign an executive order on his first day as president to recommit the U.S. to the Paris climate accord. He also supports the concept of a Green New Deal.,,"In May, Castro unveiled his “People First Education” plan, which includes tuition-free public college, community college, and vocational school, as well as government-funded universal pre-K. Castro also wants to help relieve student debt. His plan holds that if an American with outstanding student loans is earning less than 250 percent of the federal poverty line, they do not have to make loan payments.",,,"Castro said little about foreign policy in his 2020 announcement speech. He has criticized Trump’s America First agenda and defended the post-World War II Western alliance. “The first thing that I would do if I were president with regard to our relationships around the world is to strengthen them, because those alliances have helped keep us safe,” he said in January.","Following the August shootings in El Paso and Dayton that left 31 dead, Castro unveiled a plan to combat white nationalism and gun violence. The plan calls for domestic terrorism investigations to be rebalanced so appropriate attention is given to white nationalist terror; the creation of a White House Initiative on Disarming Hate, as well as other programs to combat hate; and several gun control measures, including ending the gun show loophole, enacting universal background checks, requiring a license to purchase any firearms, renewing a ban on assault weapons, and more.",Castro supports a woman’s right to choose and Roe v. Wade.,"Castro has refused to accept “a dime” of PAC money of any kind, corporate or not.","Castro hasn’t released a specific tax plan yet. But he has voiced support for plans to tax the wealthiest Americans, including Rep. Alexandria Ocasio-Cortez’s proposals for a 60 or 70 percent marginal tax rate for people who make more than $10 million.","In June, Castro, who was the secretary of Housing and Urban Development for three years under President Obama, unveiled his “People First Housing” plan, a three-part initiative that aims to solve housing affordability and homelessness, strengthen anti-discrimination measures, crack down on Wall Street’s mortgage-lending practices, and support homeownership. Measures include creating a tax credit for low- and middle-income renters, expanding HUD’s ability to enforce the Fair Housing Act, working to stem displacement caused by gentrification, establishing a National Housing Stabilization Fund, and more.","Castro has spoken out about the need to protect voting rights and voiced support for giving some, but not all, felons the right to vote.","He supports some form of reparations but he has yet to lay out a specific plan. He reiterated his support for reparations — not just considering them, but making them — on Juneteenth."
Bill de Blasio,"In January, de Blasio guaranteed that everyone in New York City, including undocumented immigrants, would be able to receive affordable health care. De Blasio has not offered specifics on how he would translate the plan nationally, although during the opening night of the first Democratic debates in June, he was one of only two of the 10 candidates onstage (the other being Elizabeth Warren) to raise their hand when the moderator asked who supports ending the private health insurance industry.","Stop-and-frisk has declined since de Blasio took over as mayor, and in 2016 he signed the Criminal Justice Reform Act, which focused on reforming the handling of low-level offenses.",,"De Blasio has pushed to make New York a “sanctuary city,” and promised that police in New York will not target undocumented immigrants. In March, he urged Congress to pass the Dream and Promise Act, which would provide a pathway to citizenship for immigrants brought to the United States while children.","De Blasio has taken measures to combat climate change as mayor of New York. He recently proposed an ambitious plan to mitigate the effects of sea level rise. In April, he announced the introduction of legislation to require builders to use more environmentally friendly materials, part of a $14 billion “NYC Green New Deal” that would help New York become carbon neutral by 2050.",,De Blasio has called for student loan debt forgiveness for veterans with disabilities.,,"De Blasio’s primary achievement as the mayor of New York is probably his institution of universal pre-K. The program has been praised since it was implemented, and, as the New York Times points out, pre-K enrollment has nearly quadrupled since de Blasio took office in 2013.",,"De Blasio has on several occasions called for Congress to pass common sense gun safety legislation. “A clear majority of Americans would like common sense gun safety legislation,” he tweeted in response to the 2017 church shooting that left 26 dead in Sutherland Springs, Texas. “Every single tragedy is a chance for Congress to act.”","De Blasio does not support the Hyde Amendment, which bars federal funding for abortion except in extreme cases.",,"As the mayor of New York, de Blasio has pushed for a “millionaires’ tax,” which he has said will be used to fix the city’s decrepit subway system. De Blasio has also pushed for the minimum wage to be raised to $15.",,"De Blasio has advocated for voting rights as mayor, and expressed a desire to make New York the “fairest big city in America.” In 2018, he pledged to devote more city money to elections and registering more voters, including the incarcerated. In May 2019, he offered $75 million to help open up to 100 new early voting sites in the city.",De Blasio has said he would create a commission to study reparations if he were elected president.
John Delaney,"Though Delaney writes on his website that he believes healthcare is a “fundamental right” and that he is “proposing a universal health care plan,” he is not in favor of some of the more progressive Medicare-for-All options backed by candidates like Bernie Sanders. Delaney’s plan involves providing every American under 65 with basic public health insurance. Americans would be able to opt out of public healthcare and receive a tax credit if they want to buy insurance from a private provider, or buy additional insurance from a private provider to supplement their government-provided insurance.  Medicare would remain in place for Americans over 65.","In April, Delaney introduced a 13-point plan to address criminal justice disparity. “Our criminal justice system has a demonstrated clear bias against people of color,” he wrote. “Black people, who are approximately 13% of the US population, make up 40% of the incarcerated population.” The plan includes ending for-profit prisons, ending mandatory minimum sentences, removing marijuana from Schedule 1 of the Controlled Substances Act, heightening transparency within police departments, and funding for programs to reduce recidivism.",,"Delaney believes in a path for citizenship for undocumented immigrants brought to the United States as children. However, he doesn’t believe that border crossings should be decriminalized. ","In May, Delaney unveiled a $4 trillion climate change plan that would bring the United States to net-zero carbon emissions by 2050. The plan involves charging a $15 fee for each metric ton of carbon dioxide emitted, which would then raise by $10 year after year. Fossil fuel subsidies would end, and states would receive grants for preventing forest fires, using electric transportation and reducing emissions. Delaney also wants to create a “Climate Corps” that would tie into his plan to introduce a new national service program.",,"Delaney has proposed a national service program for young people graduating from high school. The plan would aim to enroll 200,000 high school graduates in the first year of the program, which would provide incentives to work on various building and infrastructure projects managed by both nonprofit and for-profit companies.",,,"Delaney has criticized President Trump for pulling the United States out of the Iran nuclear deal. He has also supported the president’s willingness to sit down with Kim Jong-un, and has praised the “progress” made regarding North Korea. When the New York Times asked Delaney in June whether there would be troops in Afghanistan at the end of his first term in office, he said it is “in our self-interest as a country to keep a small presence there.”","Delaney has said he wants to take a three-pointed approach to gun control that involves universal background checks, limiting the availability of military-style assault rifles, and passing a national red flag law, which would allow Americans to argue to a court that someone who poses a danger to them should not be permitted to carry a firearm.",Delaney supports abortion rights and has defended government funding of Planned Parenthood.,,"Delaney does not support the idea of a wealth tax, a la that of Elizabeth Warren, and has even argued that it might not be constitutional. Instead, he has proposed raising the tax rate on capital gains and matching it with the normal income tax rate.",,"While in Congress, Delaney introduced the Open Our Democracy Act, which would prohibit gerrymandering and require an independent commission to draw congressional boundaries. Delaney also supports automatic voter registration, making Election Day a national holiday and restoring the Voting Rights Act.","Delaney has said he would support H.R. 40, a bill that would create a commission to study and develop reparation proposals for African Americans."
Tulsi Gabbard,"Gabbard supports universal health care, and co-sponsored the Medicare-for-All Act, which was introduced to the House of Representatives in 2017. She does, however, believe that Americans should have the option to remain their private insurance providers.",,,,"In 2017, Gabbard introduced the Off Fossil Fuels for a Better Future Act, which aims to bring the United States to 100 percent reusable energy by 2035. “For too long, our nation has failed to take action on climate change, putting the future of our people and our planet in danger,” she said of the bill the following February. That November, Gabbard spoke alongside Rep. Alexandria Ocasio-Cortez in support of the Green New Deal. She ultimately did not co-sponsor the legislation, however, explaining in February that she has “some concerns with the Green New Deal, and about some of the vagueness of the language in there.”","As soon as she declared her candidacy, she was met with a flood of criticism for her past views regarding the LGBTQ community, particularly relating to her work for the Alliance for Traditional Marriage, which fought against gay rights in Hawaii. Gabbard initially ran for office on her drive “to pass a constitutional amendment to protect traditional marriage” in the state while working with the group. She also ran a group called Stop Promoting Homosexual America, and has objected to children being taught that homosexuality is normal. She soon apologized later in January.","Gabbard supports Bernie Sanders’ College for All Act, which would eliminate undergraduate tuition at four-year public universities for families making up to $125,000, make all community college tuition-free and reform the student loan system.",,,"Gabbard has been stridently anti-interventionist, and believes the United States should withdraw troops from Afghanistan and Syria. But her approach to foreign policy has gone beyond taking a strong anti-war position. She has been widely criticized for visiting murderous Syrian dictator Bashar al-Assad in 2017 on a secret “fact-finding” mission while dismissing his opposition — across the board — as “terrorists.”",Gabbard has advocated for a federal ban on military-style assault weapons and high-capacity magazines.,"Though Gabbard was anti-abortion early in her career, she has voted in favor of abortion rights on several occasions, and currently has a 100 rating from Planned Parenthood.",,"Though she has not offered specifics, Gabbard wrote in 2017 that “there is no question our tax code needs serious reform” before explaining why she voted against Trump’s tax cut for the wealthy. “This bill isn’t about real tax reform—it’s a giveaway to corporations and special interests on the backs of people who are already struggling just to make ends meet,” she wrote.",,"Gabbard doesn’t believe people on parole should be allowed to vote, despite their ability to in Hawaii.","Gabbard is open to the idea of reparations, and co-sponsored H.R. 40, a House bill that would create “a commission to study and develop reparations proposals for African Americans.”"
Kirsten Gillibrand,"Gillibrand is a co-sponsor of the Medicare-for-All legislation introduced to the Senate by Bernie Sanders, but her support for the concept pre-dates Sanders’ 2016 run, which helped spark a national debate on MFA.","The United States, Gillibrand has said, is in the midst of a “mass incarceration crisis.” Her prescription for fixing the problem involves legalizing marijuana at the federal level, expunging old records, reforming sentencing laws, changing federal rules for prisons, ending cash bail, and investing in communities disproportionately impacted by “the racist war on drugs.”",,"“We need to secure our borders effectively, but also make loud and clear that racism and fear of our neighbor are not a national security strategy,” Gillibrand’s website reads. “Building a taxpayer funded wall, ripping families apart, banning Muslims and turning our backs on refugees and asylum seekers are cruel and ineffective policies.”","Gillibrand co-sponsored a resolution supporting the Green New Deal introduced in February. She’s said that when it comes to confronting climate change, “I think we need a moonshot. We need to tell the American people: we are going to have a green economy in the next 10 years, not because it’s easy, but because it’s hard, because it’s a measure of our innovation and effectiveness.”",,"Gillibrand has proposed rewarding a year of public service with student loan debt forgiveness. “If you do public service for a year, you get two years free of community college or state school,” she said during a recent MSNBC town hall. “Do two years of public service, you get four years free. That would create a pipeline of kids doing service for someone else.”",,"Gillibrand in May unveiled her plan to create a Family Bill of Rights, a new economic policy platform she says she will “get done” within her first 100 days in office. The plan includes universal pre-K, national paid family leave, measures to ensure child care is accessible and affordable, and more.","Gillibrand has called for a “strong, strategic foreign policy.” A member of the Senate Armed Services committee, she has also declared that “military engagements should not continue without a clear strategy, defined and achievable goals and the consent of Congress through new Authorizations for the Use of Military Force. America’s commander in chief is not a dictator, and the decision to deploy our troops can never be made lightly or unilaterally.”","Back in 2008, when she was still a representative for an upstate New York congressional district, Gillibrand was a stalwart defender of gun rights, going so far as to file an amicus brief in support of overturning a handgun ban in Washington, D.C., which enshrined the individual right to possess a firearm under the Constitution.  Gillibrand, who now proudly boasts of her F rating from the NRA, supports universal background checks and the banning of assault rifles. She’s also spoken of the need to stop gun trafficking and close gun sale loopholes.","Gillibrand has declared she will exclusively nominate judges and justices who will uphold Roe v. Wade. She’s also committed to working to end the Hyde Amendment — which bans federal funds from being used for abortions except in cases of rape, incest, and if the life of the mother is at risk — and repealing the Trump administration’s “gag rule” prohibiting abortion providers who accept federal funding or insurance from talking about abortion with their patients. She wants to expand access to birth control, guarantee sex education, and invest in  Title X family planning funding. And she has expressed a desire to create protections for doctors, nurses, and clinic workers, although she hasn’t specified what kind of protections that would include. ","Gillibrand has released a “clean elections” plan that amounts to a call for public financing of elections. Under the plan, every voter would be eligible for $200 “Democracy Dollars” they could donate to the federal candidate of their choice — as long as that candidate swore off donations of more than $200. Gillibrand’s team says the proposal could be paid for “by eliminating a taxpayer subsidy that is currently enjoyed by CEOs who make excessive salaries.”","Gillibrand — who represents the country’s financial nerve-center, Wall Street — supports a tax on financial transactions: 0.5 percent on stock trades and 0.1 percent on bond trades. She also supports raising the national minimum wage to $15 per hour, and wants to reverse Trump’s 2017 tax cut for the wealthy.",,"Gillibrand has expressed a desire to restore the Voting Rights Act that was gutted by the Supreme Court in 2013, and has said the U.S. should go further by enacting automatic voter registration for every 18-year-old, expanding online registration and early voting, making Election Day a national holiday, and end gerrymandering and voter roll purges.",Gillibrand has said she would like to “study the problem.”
